n,size,x,y,z,vx,vy,vz,t0,st,time_end,xfinal,yfinal,zfinal,vxfinal,vyfinal,vzfinal
58,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0042268530342524,-0.0550872881703093,-0.0333993711837232,0.0,3,0.09994348379610866,-58.879678229999996,-17.44526501,-41.63713283,0.03703767804,0.04265021187,0.042077302430000005
59,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0042320907703543,-0.0551555499896034,-0.0334407582607787,0.0,3,0.10044116898129384,-59.450682349999994,-16.49905856,-41.433882919999995,0.037383465149999996,0.04239868276,0.04216144985
60,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0042373285064563,-0.0552238118088974,-0.0334821453378341,0.0,3,0.10092728009240494,-60.04843822,-15.596676890000001,-41.27019623,0.03768216125,0.042140710520000006,0.04220174052
61,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0042425662425582,-0.0552920736281915,-0.0335235324148895,0.0,3,0.10142728009295683,-60.61765305,-14.642295529999998,-41.06622602,0.03801699404,0.041871891960000004,0.042267652499999996
62,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0042478039786601,-0.0553603354474856,-0.0335649194919449,0.0,3,0.10192496527814203,-61.20500642,-13.7003341,-40.88072768,0.03832603809,0.04159506222,0.04230690069
63,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.004253041714762,-0.0554285972667796,-0.0336063065690003,0.0,3,0.10242959490804761,-61.79242156,-12.731507220000001,-40.68354958,0.0386405159,0.04130707962,0.042344292650000004
64,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.004258279450864,-0.0554968590860737,-0.0336476936460558,0.0,3,0.10296315972313837,-62.32229704,-11.65709071,-40.40278305,0.03903607342,0.040998739799999996,0.04243976421
65,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0042635171869659,-0.0555651209053678,-0.0336890807231112,0.0,3,0.10349440972286243,-62.89469338,-10.59208085,-40.15251409,0.03939136966,0.04067921749,0.042492853899999995
66,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0042687549230678,-0.0556333827246618,-0.0337304678001666,0.0,3,0.10401755787018273,-63.51099988,-9.55682539,-39.94422813,0.03969294163,0.040354276200000004,0.04249702341
67,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0042739926591697,-0.0557016445439559,-0.033771854877222,0.0,3,0.10454070601888277,-64.08120771,-8.523182792,-39.71398508,0.04000902078,0.04002464537,0.042516339199999996
