n,size,x,y,z,vx,vy,vz,t0,st,time_end,xfinal,yfinal,zfinal,vxfinal,vyfinal,vzfinal,v_mag,target
576,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.035022881671746,-0.093338687829237,-0.0360178721431891,0.0,2,67.40625945601889,-76.03405719999999,391.0321829,30.04988168,0.1823443861999999,-0.3556331251,-0.04932383845,0.10599999999999997,0
577,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0350493140352718,-0.0934091321219383,-0.0360450554429198,0.0,1,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10607999999999994,1
578,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0350757463987977,-0.0934795764146396,-0.0360722387426505,0.0,1,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10615999999999995,1
579,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0351021787623235,-0.0935500207073409,-0.0360994220423812,0.0,1,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10623999999999993,1
580,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0351286111258494,-0.0936204650000422,-0.0361266053421119,0.0,2,69.26237056712999,331.1461868,-227.4026105,-46.145206980000005,0.009892479595,0.1288862208,-0.0411703914399999,0.10631999999999993,0
581,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0351550434893752,-0.0936909092927435,-0.0361537886418426,0.0,2,89.853363622685,-383.2701337,-140.0289579,11.88587518,0.04936968781,-0.06863765368,-0.04588042897,0.1063999999999999,0
582,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0351814758529011,-0.0937613535854448,-0.0361809719415733,0.0,2,68.4918914004636,125.0265151,-381.1090444,7.020069736,-0.1720093645,0.3210648901999999,-0.03556756334,0.1064799999999999,0
583,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0352079082164269,-0.0938317978781462,-0.036208155241304,0.0,2,109.7955939467596,194.174043,351.1846716,-19.70884517,-0.1044807359,-0.3669976196,-0.01997097095,0.10655999999999997,0
584,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0352343405799528,-0.0939022421708475,-0.0362353385410347,0.0,2,109.49245390046389,-321.2403277,-237.1374015,-55.28677794,0.2146502367,0.0857358508,0.01039125748,0.10663999999999997,0
585,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0352607729434786,-0.0939726864635488,-0.0362625218407654,0.0,2,157.9810812152784,169.4199746,284.3728701,-172.2695597,0.1851200022,-0.5651856317,0.0958757113599999,0.10671999999999994,0
586,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0352872053070045,-0.0940431307562501,-0.0362897051404961,0.0,1,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10679999999999996,1
587,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0353136376705303,-0.0941135750489514,-0.0363168884402269,0.0,3,48.40695274305565,38.13187906,-35.645286809999995,46.00676225,0.02491964916,-0.02263812849,-0.06241247269,0.10687999999999996,0
588,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0353400700340561,-0.0941840193416527,-0.0363440717399576,0.0,1,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10695999999999993,1
589,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.035366502397582,-0.094254463634354,-0.0363712550396883,0.0,2,80.1229573726861,-121.4041093,376.98541,45.54933838,0.1512736637,-0.3125432302,-0.06615512431,0.10703999999999993,0
590,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0353929347611078,-0.0943249079270553,-0.036398438339419,0.0,1,863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1071199999999999,1
